Admin,pairs_n,points_n,ph_variogram_mean,ph_vario_sd,log_SOC_variogram_mean,log_SOC_vario_sd
10101001,1,1,0.19826334774839308,NA,0.20405659254885455,NA
10101003,3,2,0.1994787660547502,0.0012389657323919122,0.20432076762603193,2.6917489174018913e-4
10101004,1,1,0.1985259506638981,NA,0.20411325861071378,NA
10101005,1,1,0.19806026072047395,NA,0.2040129164803427,NA
10101006,6,3,0.19905542872644114,5.286515068942465e-4,0.2042281664212427,1.1448735761465606e-4
10101007,1,1,0.1983254419124796,NA,0.20406997526667595,NA
10101008,1,1,0.19983350776623324,NA,0.20439730078555987,NA
10101009,6,3,0.19949462242288374,0.0013419170185352824,0.20432440340323105,2.930956287828629e-4
10101011,10,4,0.20020362439467515,0.001522035309196691,0.20447936258252197,3.326597259017718e-4
10101012,55,10,0.20084262994047858,0.001945083748012938,0.20462002617341182,4.263812190714762e-4
10101013,1,1,0.2001680965493541,NA,0.204470364383965,NA
10101014,3,2,0.20040439361254161,0.0019576605125955636,0.20452353219871197,4.2790989393113704e-4
10101016,3,2,0.19863433039855746,5.400177499718523e-4,0.2041369155921731,1.1664504465677629e-4
10101017,6,3,0.19939771791331645,0.001061213366292611,0.20430297829988925,2.314697693950413e-4
10101019,1,1,0.1981477971062497,NA,0.20403172162509695,NA
10101022,3,2,0.19841924631044938,3.5664134952118905e-4,0.20409031400604133,7.703585985937756e-5
10101023,28,7,0.20470231274758,0.0062206077818698175,0.20548395575996342,0.0013940818200595256
10101025,10,4,0.19939332548562322,0.0011865092011209557,0.20430231283228395,2.582422907174994e-4
10101028,6,3,0.2006247381017865,0.0024523947923728536,0.2045728690204836,5.387855893408237e-4
10101030,6,3,0.19978317704026102,0.0015059196957490238,0.2043875192493669,3.287621957354525e-4
10101031,21,6,0.2024776059113128,0.003659136410457126,0.20498313597144965,8.11133062108342e-4
10101032,3,2,0.1988541586573896,6.8819715381798e-4,0.20418458271238263,1.4913766296194403e-4
10101033,1,1,0.19927414509964558,NA,0.20427547072497065,NA
10101034,6,3,0.1989303340284258,6.951837333344892e-4,0.20420115466783906,1.5081932791725163e-4
10101035,78,12,0.20089377025604882,0.0024990612782954205,0.20463219193846835,5.512594432511918e-4
10101036,3,2,0.1998385402128234,8.799717118099029e-4,0.2043987333203948,1.9174055541282416e-4
10101037,3,2,0.20015731133542713,0.0018559269814843536,0.20446953785427718,4.0417090206278637e-4
10101038,3,2,0.20073457346850926,6.650308744753946e-4,0.20459451137125087,1.4563451382682295e-4
10101901,6,3,0.20020862918397517,0.0019321061034902858,0.2044809759217322,4.231451975512546e-4
10102001,3,2,0.20042753249168407,0.002094529849503316,0.20452897378592302,4.565248976720829e-4
10102006,15,5,0.20042996766406485,0.0021463247665414204,0.20452980117590489,4.7265472834122346e-4
10102008,3,2,0.20128601882218447,0.0021745053873065503,0.20471700237531573,4.7658464295982454e-4
10102013,1,1,0.20018991727584665,NA,0.20447513391513583,NA
10102014,3,2,0.20102299626556233,0.0015902152574848495,0.20465848915818954,3.4851553730476837e-4
10102015,3,2,0.19830335044683928,2.1553301012876757e-4,0.20406526105049438,4.6424126897036696e-5
10102016,1,1,0.19967078711119207,NA,0.2043618172702012,NA
10102017,1,1,0.1985390364785141,NA,0.2041160867037222,NA
10102018,6,3,0.20112286359043877,0.0020003279385487635,0.20468130013754127,4.383745290770703e-4
10102020,3,2,0.1993099472687202,0.0010684888722633,0.20428380575633617,2.3250494408491557e-4
10102022,10,4,0.20135746538298438,0.002873599821494612,0.2047346190736341,6.329794604697667e-4
10102023,15,5,0.20041722281172938,0.00172985762413947,0.20452640282906495,3.789273528519069e-4
10102024,10,4,0.2015323807564983,0.002315703957314644,0.20477194114414674,5.087808740624935e-4
10102025,36,8,0.20087637063906802,0.0020028711072769354,0.2046274405994466,4.3984985538503615e-4
10102901,3,2,0.1990624963078829,8.212310911594918e-4,0.2042298827993138,1.779856769447856e-4
10103002,78,12,0.2073946202210492,0.008297254327781124,0.20609426457477634,0.0018681307343164616
10103004,15,5,0.2009016092279803,0.0032970812533184087,0.20463598662870186,7.262050127722415e-4
10103005,6,3,0.20023991839338767,0.0014822007097105197,0.20448702341887698,3.254024644828742e-4
10103006,21,6,0.19981620590588187,0.0015225364038686526,0.2043948555747788,3.33081659816504e-4
10103007,15,5,0.20072808751910537,0.002327697423021319,0.20459539436989435,5.128676561239841e-4
10103008,36,8,0.2043063363761981,0.005147654200339777,0.20539238205355304,0.001148386357379119
10103009,55,10,0.20215883440644636,0.002831812175431677,0.20491096907233688,6.257090355936786e-4
10103011,36,8,0.19974421847067855,0.0013944801763382943,0.20437902764452684,3.0449095189880255e-4
10103012,1,1,0.20280329492423654,NA,0.20504981595522262,NA
10103013,1,1,0.19813271922574707,NA,0.2040284799432996,NA
10103014,3,2,0.1987251988358521,2.908513041062877e-4,0.20415641157189324,6.299141155954969e-5
10103901,6,3,0.20343681763391117,0.004663349656561291,0.20519670558655348,0.0010402157379022948
10103902,120,15,0.20844850136932902,0.00789128124359669,0.20632781000847858,0.0017880627385165205
10104002,10,4,0.20336760061749354,0.004582704285057442,0.2051819099954365,0.0010200628994313172
10104003,3,2,0.1992416171369736,5.800546270415598e-4,0.20426856788235387,1.2605982841777587e-4
10104004,1,1,0.20186673794328827,NA,0.20484313809476754,NA
10104005,3,2,0.19909821485236912,8.498070319231673e-4,0.2042376275354023,1.845568229323943e-4
10104006,3,2,0.20011915013156933,0.0017055698045664032,0.20446080080769305,3.7293069475424637e-4
10104007,6,3,0.19867950293380274,6.580067390481363e-4,0.2041468191660285,1.4251927205674619e-4
10104008,6,3,0.19970440093509192,0.001400902496519814,0.20437023036020724,3.0540933054967604e-4
10104009,10,4,0.20349632161885514,0.004862411589539888,0.20521130854053166,0.0010824511633462444
10104010,6,3,0.19910062027090403,0.0011580517383819008,0.20423869673947015,2.513985089944083e-4
10104011,10,4,0.2004029172551201,0.002544598609228445,0.2045247896247436,5.593052663877416e-4
10104012,1,1,0.1980561595079287,NA,0.2040120364334761,NA
10104013,10,4,0.20183436929822327,0.002704553600162038,0.2048390533631595,5.957257898831877e-4
10104014,1,1,0.19995209769287478,NA,0.2044231817389973,NA
10104015,1,1,0.20605862941489161,NA,0.20577349519550034,NA
10104016,3,2,0.1986960436770889,5.894926607139554e-4,0.2041502704879578,1.2766654871149705e-4
10104017,3,2,0.19936042761298203,0.001161966598794382,0.20429495843185383,2.521999855500892e-4
10104901,1,1,0.19924067067374573,NA,0.20426819365977955,NA
10105001,1,1,0.19859877077759303,NA,0.20412900110357424,NA
10105003,6,3,0.20417218231285006,0.004949194457367021,0.20536092745099377,0.001100113334593358
10105004,28,7,0.2021597786099683,0.003929664106493495,0.20491375704616532,8.734340990104901e-4
10105008,1,1,0.19912153086392023,NA,0.20424230724374462,NA
