"p1_id","p1_EACODE","p1_District","p2_id","p2_EACODE","p2_District","h","ph_variogram","log_SOC_variogram"
1232,31001082,"Chikwawa",2663,31001082,"Chikwawa",2.21552431899624,0.198863244197741,0.204186264502592
1232,31001082,"Chikwawa",3321,31001082,"Chikwawa",0.885992211788268,0.198143092371784,0.204030710025335
1232,31001082,"Chikwawa",6165,31001082,"Chikwawa",4.80868083846607,0.201794234697163,0.204827170022353
1232,31001082,"Chikwawa",7652,31001082,"Chikwawa",4.80582356502844,0.201790014815683,0.204826240783934
1232,31001082,"Chikwawa",3503,10203029,"Karonga",734.116849788702,0.450999998896332,0.27899999339654
1232,31001082,"Chikwawa",5163,10203029,"Karonga",735.269686320635,0.450999998930362,0.278999993569876
1232,31001082,"Chikwawa",7005,10203029,"Karonga",735.342257363891,0.450999998932468,0.278999993580634
1232,31001082,"Chikwawa",9691,10203029,"Karonga",734.367475744244,0.450999998903821,0.278999993434617
1232,31001082,"Chikwawa",6,30101015,"Mangochi",246.115296672089,0.450368834010105,0.278488181532105
2663,31001082,"Chikwawa",1232,31001082,"Chikwawa",2.21552431899627,0.198863244197741,0.204186264502592
2663,31001082,"Chikwawa",3321,31001082,"Chikwawa",2.67318722746012,0.199241365018496,0.204268344587855
2663,31001082,"Chikwawa",6165,31001082,"Chikwawa",5.92991724092219,0.203600958822853,0.205226412506698
2663,31001082,"Chikwawa",7652,31001082,"Chikwawa",6.74118348837551,0.205085007293177,0.20555625295441
2663,31001082,"Chikwawa",3503,10203029,"Karonga",733.775569869385,0.450999998886052,0.278999993344336
2663,31001082,"Chikwawa",5163,10203029,"Karonga",734.925552698029,0.450999998920315,0.278999993518615
2663,31001082,"Chikwawa",7005,10203029,"Karonga",735.000521715513,0.450999998922511,0.278999993529817
2663,31001082,"Chikwawa",9691,10203029,"Karonga",734.026703762036,0.450999998893626,0.278999993382791
2663,31001082,"Chikwawa",6,30101015,"Mangochi",245.245820951062,0.45035375764269,0.278477827990391
3321,31001082,"Chikwawa",1232,31001082,"Chikwawa",0.885992211788208,0.198143092371784,0.204030710025335
3321,31001082,"Chikwawa",2663,31001082,"Chikwawa",2.67318722746018,0.199241365018496,0.204268344587855
3321,31001082,"Chikwawa",6165,31001082,"Chikwawa",3.923458559353,0.200586116617957,0.204561826995251
3321,31001082,"Chikwawa",7652,31001082,"Chikwawa",4.09395770671914,0.200802990187078,0.204609353051856
3321,31001082,"Chikwawa",3503,10203029,"Karonga",734.980964454523,0.450999998921939,0.278999993526897
3321,31001082,"Chikwawa",5163,10203029,"Karonga",736.134054655011,0.450999998955186,0.278999993696847
3321,31001082,"Chikwawa",7005,10203029,"Karonga",736.206412183053,0.450999998957238,0.278999993707362
3321,31001082,"Chikwawa",9691,10203029,"Karonga",735.231544913172,0.450999998929253,0.278999993564214
3321,31001082,"Chikwawa",6,30101015,"Mangochi",247.000931113482,0.450383829250456,0.278498516823897
6165,31001082,"Chikwawa",1232,31001082,"Chikwawa",4.80868083846618,0.201794234697164,0.204827170022354
6165,31001082,"Chikwawa",2663,31001082,"Chikwawa",5.92991724092234,0.203600958822854,0.205226412506698
6165,31001082,"Chikwawa",3321,31001082,"Chikwawa",3.92345855935319,0.200586116617957,0.204561826995251
6165,31001082,"Chikwawa",7652,31001082,"Chikwawa",2.9249632935755,0.199476211924024,0.204319432517868
6165,31001082,"Chikwawa",3503,10203029,"Karonga",738.843860141896,0.450999999029338,0.27899999407888
6165,31001082,"Chikwawa",5163,10203029,"Karonga",739.997836413013,0.450999999059296,0.278999994234456
6165,31001082,"Chikwawa",7005,10203029,"Karonga",740.069447635192,0.450999999061124,0.278999994243975
6165,31001082,"Chikwawa",9691,10203029,"Karonga",739.094281278059,0.450999999035919,0.278999994112994
6165,31001082,"Chikwawa",6,30101015,"Mangochi",250.91366841951,0.4504459305229,0.278541740880884
7652,31001082,"Chikwawa",1232,31001082,"Chikwawa",4.80582356502856,0.201790014815683,0.204826240783934
7652,31001082,"Chikwawa",2663,31001082,"Chikwawa",6.74118348837551,0.205085007293177,0.20555625295441
7652,31001082,"Chikwawa",3321,31001082,"Chikwawa",4.09395770671915,0.200802990187078,0.204609353051856
7652,31001082,"Chikwawa",6165,31001082,"Chikwawa",2.92496329357553,0.199476211924024,0.204319432517868
7652,31001082,"Chikwawa",3503,10203029,"Karonga",737.461398034148,0.45099999899219,0.278999993886963
7652,31001082,"Chikwawa",5163,10203029,"Karonga",738.618699060181,0.450999999023383,0.278999994048038
7652,31001082,"Chikwawa",7005,10203029,"Karonga",738.687500108484,0.450999999025206,0.278999994057479
7652,31001082,"Chikwawa",9691,10203029,"Karonga",737.711220619385,0.450999998999007,0.278999993922099
7652,31001082,"Chikwawa",6,30101015,"Mangochi",250.219736785811,0.450435392176041,0.278534355997304
3503,10203029,"Karonga",1232,31001082,"Chikwawa",734.116849788702,0.450999998896332,0.27899999339654
3503,10203029,"Karonga",2663,31001082,"Chikwawa",733.775569869385,0.450999998886052,0.278999993344336
3503,10203029,"Karonga",3321,31001082,"Chikwawa",734.980964454524,0.450999998921939,0.278999993526897
3503,10203029,"Karonga",6165,31001082,"Chikwawa",738.843860141896,0.450999999029338,0.27899999407888
3503,10203029,"Karonga",7652,31001082,"Chikwawa",737.461398034149,0.45099999899219,0.278999993886963
3503,10203029,"Karonga",5163,10203029,"Karonga",1.49624441704019,0.198401421533484,0.204086365112917
3503,10203029,"Karonga",7005,10203029,"Karonga",1.23464630433157,0.198275263119106,0.204059159704581
