p1_id,p1_EACODE,p1_District,p2_id,p2_EACODE,p2_District,h,ph_variogram,log_SOC_variogram
0,30206003,Machinga,1,31009901,Chikwawa,146.41660515401065,0.441611398504166,0.27397155409180296
0,30206003,Machinga,2,10410901,Rumphi,512.6982940362988,0.45099954794097075,0.27899890723870824
0,30206003,Machinga,3,31001078,Chikwawa,174.4880062209651,0.4465985897648792,0.2763471201217279
0,30206003,Machinga,4,30220701,Machinga,31.585213948668095,0.28194413079465674,0.22408558391573905
0,30206003,Machinga,5,30306070,Zomba,59.65279296642411,0.3608166483278503,0.24590805310567973
0,30206003,Machinga,6,20110006,Kasungu,365.3657139291458,0.45097525685293344,0.27896727753117767
0,30206003,Machinga,7,31201090,Balaka,72.26442337191953,0.38493951823068495,0.25336068946359724
0,30206003,Machinga,8,20405004,Dowa,245.6035382864267,0.4503600034126844,0.2784821126925805
0,30206003,Machinga,9,10106902,Chitipa,548.343926433145,0.4509998283521709,0.2789995198972587
0,30206003,Machinga,10,10409001,Rumphi,523.6400894282954,0.45099966418437976,0.27899915105046014
0,30206003,Machinga,11,10206903,Karonga,575.0630457027066,0.4509999169386757,0.2789997408257415
0,30206003,Machinga,12,30399930,Lake Chilwa,20.356611387695057,0.24365278073875896,0.2145360502713169
0,30206003,Machinga,13,20404038,Dowa,210.7698819969432,0.44935289597405936,0.27784558621273286
0,30206003,Machinga,14,20507002,Salima,227.50167320109284,0.44995389876272185,0.27821433514858485
0,30206003,Machinga,15,30701014,Thyolo,140.4091270805611,0.43996555868986,0.27323882686442524
0,30206003,Machinga,16,10501041,Mzimba,416.6476285576001,0.4509938563733383,0.27898997691551086
0,30206003,Machinga,17,31003016,Chikwawa,154.32487615069837,0.4434126526692337,0.27479812940492343
0,30206003,Machinga,18,31201117,Balaka,42.95274345826005,0.3179867000942459,0.23365597281660716
0,30206003,Machinga,19,10203038,Karonga,577.3465603352779,0.450999921934828,0.27899975412769723
0,30206003,Machinga,20,20106002,Kasungu,335.65678703164554,0.4509445430696428,0.278935061563889
0,30206003,Machinga,21,30801063,Mulanje,109.13383755425907,0.4255777462985044,0.26739532772813
0,30206003,Machinga,22,31101012,Nsanje,226.47173087488176,0.4499242471805732,0.27819549174099745
0,30206003,Machinga,23,30105044,Mangochi,53.08859201359332,0.3455207577965058,0.24140627586332064
0,30206003,Machinga,24,31001068,Chikwawa,175.51128432658749,0.44671874427060854,0.2764084779452014
0,30206003,Machinga,25,31106006,Nsanje,171.28709854443528,0.4462006337780674,0.2761457440033827
0,30206003,Machinga,26,30603014,Mwanza,124.619492997853,0.43415621572537977,0.2707794178636349
0,30206003,Machinga,27,20205022,Nkhotakota,246.19273744076884,0.4503701596328854,0.27848909368150254
0,30206003,Machinga,28,20406029,Dowa,240.12363236544775,0.4502573452785849,0.2784124483983789
0,30206003,Machinga,29,20703002,Mchinji,322.23224033812846,0.4509201395343406,0.27891149043447805
0,30206003,Machinga,30,30103055,Mangochi,106.6749756753674,0.4238712632682694,0.26674802300180783
0,30206003,Machinga,31,31110903,Nsanje,188.21222639082993,0.44796427552820595,0.2770624537349493
0,30206003,Machinga,32,20115901,Kasungu,377.96387106768185,0.4509824279876899,0.27897553098805566
0,30206003,Machinga,33,30103048,Mangochi,117.03808524581392,0.4303854805799381,0.2692622735537132
0,30206003,Machinga,34,20304001,Ntchisi,272.9537934652129,0.45069546584667813,0.2787242470519864
0,30206003,Machinga,35,31001056,Chikwawa,165.02307997731512,0.4453153650007772,0.2757068853150747
0,30206003,Machinga,36,30306001,Zomba,39.62235554999797,0.3079332529046293,0.2309254784744999
0,30206003,Machinga,37,20609008,Lilongwe,260.20046090291584,0.4505694246392268,0.2786300186348782
0,30206003,Machinga,38,10546001,Mzimba,440.8160710624794,0.45099681374765355,0.27899426115674325
0,30206003,Machinga,39,30399930,Lake Chilwa,16.274226983683757,0.23030311895995623,0.21135026607733776
0,30206003,Machinga,40,10301903,Nkhata Bay,429.5045879523721,0.4509956675290598,0.2789925497615807
0,30206003,Machinga,41,20112002,Kasungu,321.4557600077002,0.45091843717951463,0.2789098908858788
0,30206003,Machinga,42,10545002,Mzimba,434.1905661634414,0.45099618539631736,0.2789933132546904
0,30206003,Machinga,43,10103010,Chitipa,594.5436258211785,0.45099995107153,0.27899983465763506
0,30206003,Machinga,44,30102903,Mangochi,89.27915616439712,0.40822717372486095,0.2610997643449715
0,30206003,Machinga,45,10501050,Mzimba,404.55364400051315,0.4509914667997039,0.27898675090633285
0,30206003,Machinga,46,10506016,Mzimba,387.38906576795563,0.4509863973924396,0.2789803131203479
0,30206003,Machinga,47,20904048,Ntcheu,84.40366527726904,0.4024895536886911,0.25913080604877525
0,30206003,Machinga,48,30399930,Lake Chilwa,26.58943087714145,0.2649421931070779,0.2197702310443293
0,30206003,Machinga,49,10407008,Rumphi,494.0898812206043,0.45099925055083223,0.2789983212244464
0,30206003,Machinga,50,20104004,Kasungu,373.5370529998085,0.4509801824779735,0.27897289982049933
0,30206003,Machinga,51,10306001,Nkhata Bay,408.72159377211426,0.45099238030274114,0.27898796565631123
0,30206003,Machinga,52,20107020,Kasungu,308.90466091934786,0.4508853010815731,0.27887963647292013
0,30206003,Machinga,53,20801002,Dedza,213.1707545458267,0.449456738042584,0.27790756909288594
0,30206003,Machinga,54,10407005,Rumphi,488.2992738465102,0.4509991228753791,0.27899808125229486
0,30206003,Machinga,55,20702905,Mchinji,266.23286444043515,0.4506344850245768,0.27867804062589674
